date,product,expiry,tenor,leg,value
2016-01-01 00:00:00,forward_swap,10Y,15Y,,2.66335
2016-01-01 00:00:00,forward_swap,10Y,1Y,,2.65597
2016-01-01 00:00:00,forward_swap,10Y,20Y,,2.64414
2016-01-01 00:00:00,forward_swap,10Y,2Y,,2.67605
2016-01-01 00:00:00,forward_swap,10Y,3Y,,2.68268
2016-01-01 00:00:00,forward_swap,10Y,5Y,,2.68042
2016-01-01 00:00:00,forward_swap,11Y,1Y,,2.69668
2016-01-01 00:00:00,forward_swap,11Y,4Y,,2.68694
2016-01-01 00:00:00,forward_swap,12Y,1Y,,2.69646
2016-01-01 00:00:00,forward_swap,12Y,3Y,,2.68353
2016-01-01 00:00:00,forward_swap,13Y,1Y,,2.68103
2016-01-01 00:00:00,forward_swap,13Y,7Y,,2.68522
2016-01-01 00:00:00,forward_swap,14Y,1Y,,2.67251
2016-01-01 00:00:00,forward_swap,15Y,10Y,,2.65294
2016-01-01 00:00:00,forward_swap,15Y,15Y,,2.62844
2016-01-01 00:00:00,forward_swap,15Y,1Y,,2.67796
2016-01-01 00:00:00,forward_swap,15Y,20Y,,2.61282
2016-01-01 00:00:00,forward_swap,15Y,2Y,,2.6837
2016-01-01 00:00:00,forward_swap,15Y,5Y,,2.68893
2016-01-01 00:00:00,forward_swap,16Y,1Y,,2.68956
2016-01-01 00:00:00,forward_swap,16Y,4Y,,2.69188
2016-01-01 00:00:00,forward_swap,17Y,1Y,,2.69797
2016-01-01 00:00:00,forward_swap,17Y,3Y,,2.6927
2016-01-01 00:00:00,forward_swap,18M,1Y,,1.41591
2016-01-01 00:00:00,forward_swap,18M,6M,,1.31421
2016-01-01 00:00:00,forward_swap,18Y,1Y,,2.69663
2016-01-01 00:00:00,forward_swap,19Y,1Y,,2.68315
2016-01-01 00:00:00,forward_swap,1Y,10Y,,2.09645
2016-01-01 00:00:00,forward_swap,1Y,15Y,,2.26862
2016-01-01 00:00:00,forward_swap,1Y,1Y,,1.19311
2016-01-01 00:00:00,forward_swap,1Y,20Y,,2.35359
2016-01-01 00:00:00,forward_swap,1Y,2Y,,1.38831
2016-01-01 00:00:00,forward_swap,1Y,3Y,,1.52406
2016-01-01 00:00:00,forward_swap,1Y,4Y,,1.63951
2016-01-01 00:00:00,forward_swap,1Y,5Y,,1.74226
2016-01-01 00:00:00,forward_swap,1Y,7Y,,1.91173
2016-01-01 00:00:00,forward_swap,20Y,10Y,,2.59167
2016-01-01 00:00:00,forward_swap,20Y,15Y,,2.58
2016-01-01 00:00:00,forward_swap,20Y,1Y,,2.65977
2016-01-01 00:00:00,forward_swap,20Y,20Y,,2.54571
2016-01-01 00:00:00,forward_swap,20Y,5Y,,2.61183
2016-01-01 00:00:00,forward_swap,25Y,10Y,,2.56073
2016-01-01 00:00:00,forward_swap,25Y,1Y,,2.5644
2016-01-01 00:00:00,forward_swap,25Y,5Y,,2.56873
2016-01-01 00:00:00,forward_swap,2Y,10Y,,2.25103
2016-01-01 00:00:00,forward_swap,2Y,1Y,,1.58558
2016-01-01 00:00:00,forward_swap,2Y,2Y,,1.69348
2016-01-01 00:00:00,forward_swap,2Y,3Y,,1.79341
2016-01-01 00:00:00,forward_swap,2Y,4Y,,1.88573
2016-01-01 00:00:00,forward_swap,2Y,5Y,,1.96986
2016-01-01 00:00:00,forward_swap,2Y,7Y,,2.1021
2016-01-01 00:00:00,forward_swap,30Y,10Y,,2.48652
2016-01-01 00:00:00,forward_swap,30Y,1Y,,2.57841
2016-01-01 00:00:00,forward_swap,30Y,5Y,,2.55179
2016-01-01 00:00:00,forward_swap,35Y,1Y,,2.47536
2016-01-01 00:00:00,forward_swap,3M,10Y,,1.94447
