date,name
2001-12-17,Chanukah Day 8
2001-12-25,Fast of 10 Tevet
2002-01-28,Tu BiShvat
2002-02-25,Fast of Esther
2002-02-26,Purim
2002-02-27,Shushan Purim
2002-03-28,Pesach I
2002-03-29,Pesach II
2002-03-30,Chol HaMoed Pesach
2002-03-31,Chol HaMoed Pesach
2002-04-01,Chol HaMoed Pesach
2002-04-02,Chol HaMoed Pesach
2002-04-03,Pesach VII
2002-04-04,Pesach VIII
2002-04-09,Yom HaShoah
2002-04-16,Yom HaZikaron
2002-04-17,Yom HaAtzmaut
2002-04-30,Lag B'Omer
2002-05-10,Yom Yerushalayim
2002-05-17,Shavuot I
2002-05-18,Shavuot II
2002-06-27,Fast of 17 Tammuz
2002-07-18,Tisha B'Av
2002-07-24,Tu B'Av
2002-09-07,Rosh Hashanah I
2002-09-08,Rosh Hashanah II
2002-09-09,Fast of Gedaliah
2002-09-16,Yom Kippur
2002-09-21,Sukkot I
2002-09-22,Sukkot II
2002-09-23,Chol HaMoed Sukkot
2002-09-24,Chol HaMoed Sukkot
2002-09-25,Chol HaMoed Sukkot
2002-09-26,Chol HaMoed Sukkot
2002-09-27,Hoshana Rabbah
2002-09-28,Shemini Atzeret
2002-09-29,Simchat Torah
2002-11-30,Chanukah Day 1
2002-12-01,Chanukah Day 2
2002-12-02,Chanukah Day 3
2002-12-03,Chanukah Day 4
2002-12-04,Chanukah Day 5
2002-12-05,Chanukah Day 6
2002-12-06,Chanukah Day 7
2002-12-07,Chanukah Day 8
2002-12-15,Fast of 10 Tevet
2003-01-18,Tu BiShvat
2003-02-16,Purim Katan
2003-02-17,Shushan Purim Katan
2003-03-17,Fast of Esther
2003-03-18,Purim
2003-03-19,Shushan Purim
2003-04-17,Pesach I
2003-04-18,Pesach II
2003-04-19,Chol HaMoed Pesach
2003-04-20,Chol HaMoed Pesach
2003-04-21,Chol HaMoed Pesach
2003-04-22,Chol HaMoed Pesach
2003-04-23,Pesach VII
2003-04-24,Pesach VIII
2003-04-29,Yom HaShoah
2003-05-06,Yom HaZikaron
2003-05-07,Yom HaAtzmaut
2003-05-20,Lag B'Omer
2003-05-30,Yom Yerushalayim
2003-06-06,Shavuot I
2003-06-07,Shavuot II
2003-07-17,Fast of 17 Tammuz
2003-08-07,Tisha B'Av
2003-08-13,Tu B'Av
